role_id,role_name,family_id,family_name
role:4b07f6eb682ba033,现场应用工程师（FAE）,enterprise_solutions,企业数字化与解决方案
role:7c389a908cb5d81e,AI应用工程师,ai_algorithm,AI与算法
role:c1059840483e8585,AI项目经理,product_design,产品与设计
role:6757a646d77e041c,数据科学家,ai_algorithm,AI与算法
role:a041ef77537f29e4,ERP实施工程师,enterprise_solutions,企业数字化与解决方案
role:31e689b02ff0a199,AI部署工程师,ai_algorithm,AI与算法
role:237f8ae1bcbee198,IT技术支持工程师,ops_infrastructure,运维与基础设施
role:92c236cdc719a040,IT经理,ops_infrastructure,运维与基础设施
role:fcd35713ee77b635,MES工程师,enterprise_solutions,企业数字化与解决方案
role:aaaa3c82558f7c19,企业应用开发工程师,enterprise_solutions,企业数字化与解决方案
role:c3774f2a6b6202e0,PHP开发工程师,software_development,软件研发
role:979726ac71cf1cbb,PLM实施工程师,enterprise_solutions,企业数字化与解决方案
role:4684d104c621bf86,软件工程师,software_development,软件研发
role:2e696fadcfdf9732,RPA工程师,enterprise_solutions,企业数字化与解决方案
role:e554ebaf2d314d59,UI设计师,product_design,产品与设计
role:ba981ac022bc6093,产品设计师,product_design,产品与设计
role:5148d549f5c94adc,系统集成工程师,enterprise_solutions,企业数字化与解决方案
role:352012f18282577a,信息系统监理工程师,enterprise_solutions,企业数字化与解决方案
role:cf9e3c4ca9c51639,全栈开发工程师,software_development,软件研发
role:f0486da4bbb5636b,售前解决方案工程师,enterprise_solutions,企业数字化与解决方案
role:6afe09f3232a9753,软件实施工程师,enterprise_solutions,企业数字化与解决方案
role:84c22ff81c348a38,解决方案工程师,enterprise_solutions,企业数字化与解决方案
role:59b0c0890eeaa955,数据工程师,data_technology,数据技术
role:b290c2dde6bffb2c,数据标注项目经理,data_technology,数据技术
role:aef81cab51f7b5f2,数据治理工程师,data_technology,数据技术
role:e38a7baea9439c60,网络安全工程师,network_security,网络与安全
role:5337de30cd686a80,游戏策划,product_design,产品与设计
role:72995d3b73735811,编译器开发工程师,software_development,软件研发
role:7c20149ade7e82dd,数据经理,data_technology,数据技术
role:82d46da1301d0668,IT项目经理,enterprise_solutions,企业数字化与解决方案
